POINT_ID,위도,경도,위험도_actual,사고발생확률_p,조건부위험도_r,최종위험도점수,최종위험도점수_percent,개선우선순위1,추천근거_feature1,추천점수1,모델1_shap1,모델2_shap1,개선우선순위2,추천근거_feature2,추천점수2,모델1_shap2,모델2_shap2,개선우선순위3,추천근거_feature3,추천점수3,모델1_shap3,모델2_shap3,추천개수
161612,37.633653689353146,127.02338888234796,0.0,0.6189913,20.706877,12.817377,58.235085,횡단보도 추가,횡단보도개수,0.9904725671795308,0.07563896477222443,0.37283575534820557,신호등 설치,신호등설치여부,0.3086710215301467,0.03406906500458717,0.08646661043167114,제한속도 하향,제한속도,0.23976479889045005,0.01295297872275114,0.10542218387126923,3
152628,37.61233485779814,127.03072614343172,0.0,0.89418566,14.126678,12.631873,57.392258,횡단보도 추가,횡단보도개수,1.1923916722592862,0.0740564689040184,0.21907690167427063,횡단보도 예고표시 설치,횡단보도예고표시여부,0.28028215291700537,0.02069132961332798,0.04214322566986084,과속방지턱 추가,과속방지턱개수,0.23020808246297697,0.028583884239196777,0.0016054981388151646,3
353925,37.49018622148661,126.9243056058892,0.0,0.6005628,21.006407,12.615666,57.318623,횡단보도 추가,횡단보도개수,1.517237894827264,0.12181451171636581,0.37635403871536255,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1
155378,37.633883194524216,127.0236473447719,0.0,0.6633953,18.891449,12.532498,56.940754,횡단보도 추가,횡단보도개수,1.1020995641759075,0.13603761792182922,0.36343714594841003,신호등 설치,신호등설치여부,0.360523202402948,0.055507101118564606,0.09561499953269958,제한속도 하향,제한속도,0.2609750230011312,0.02616986073553562,0.09884143620729446,3
269852,37.533256092852994,126.84518163598402,0.0,0.5573769,22.39147,12.480489,56.70445,횡단보도 추가,횡단보도개수,1.378386849260199,0.2403569370508194,0.8521209955215454,신호등 설치,신호등설치여부,0.292419535156923,0.07000144571065903,0.1276872158050537,횡단보도 예고표시 설치,횡단보도예고표시여부,0.16850635088790805,0.03729192167520523,0.08208638429641724,3
206996,37.62312706217569,126.91982101539767,0.0,0.8987695,13.601228,12.224369,55.540783,횡단보도 추가,횡단보도개수,1.4071202432561312,0.18137691915035248,0.7051842212677002,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.29653303522337804,0.048581697046756744,0.12134288996458054,과속방지턱 추가,과속방지턱개수,0.04646285953382604,0.010235722176730633,0.012107119895517826,3
161614,37.63361805851952,127.02282545067256,0.0,0.79084325,15.198997,12.020023,54.61235,횡단보도 추가,횡단보도개수,1.0822486530294377,0.10623285174369812,0.2994183301925659,신호등 설치,신호등설치여부,0.4260028555987647,0.0404692143201828,0.12076666206121445,,,0.0,0.0,0.0,2
149172,37.6256230595568,127.02483947667533,0.0,0.5284201,22.228535,11.746004,53.36736,횡단보도 추가,횡단보도개수,1.5358779526023447,0.20701421797275543,0.386266827583313,횡단보도 예고표시 설치,횡단보도예고표시여부,0.3166688785300254,0.048019856214523315,0.06870637834072113,,,0.0,0.0,0.0,2
81911,37.57808521263465,127.04368093227964,0.0,0.86601746,13.44949,11.647492,52.919777,횡단보도 추가,횡단보도개수,0.7079120171826554,0.06353933364152908,0.14441309869289398,과속방지턱 추가,과속방지턱개수,0.10780825451817608,0.007995330728590488,0.024280665442347527,제한속도 하향,제한속도,0.09863559547116188,0.011382890865206718,0.016678614541888237,3
165199,37.63327931823198,127.0234397098294,0.0,0.7973711,14.53232,11.587652,52.647896,횡단보도 추가,횡단보도개수,1.3286749716249704,0.1657600849866867,0.35347622632980347,제한속도 하향,제한속도,0.23993622267687956,0.002084906678646803,0.12954773008823395,신호등 설치,신호등설치여부,0.23272191756345406,0.04333489015698433,0.02816457487642765,3
202452,37.62331459721301,126.91983815912124,0.0,0.8981686,12.802521,11.498822,52.2443,횡단보도 추가,횡단보도개수,1.5286343037317414,0.184976726770401,0.5672279000282288,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.2030216976507382,0.022697677835822105,0.07969801872968674,,,0.0,0.0,0.0,2
207681,37.62332764421791,126.9198393455638,0.0,0.89549816,12.37276,11.079783,50.34042,횡단보도 추가,횡단보도개수,1.428919389879888,0.17415064573287964,0.534295380115509,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.22235652416674956,0.0342751070857048,0.06684338301420212,과속방지턱 추가,과속방지턱개수,0.04462013342419504,0.0053381905891001225,0.016911150887608528,3
247667,37.56724027621056,126.91050491751284,0.0,0.7367117,15.01946,11.065011,50.2733,횡단보도 예고표시 설치,횡단보도예고표시여부,0.5142926738894673,0.08889801800251007,0.060846008360385895,횡단보도 추가,횡단보도개수,0.45289473508241684,0.02157273143529892,0.10189079493284225,가로등 추가,가로등개수,0.17925921781415774,0.0059112971648573875,0.04256719723343849,3
157063,37.619221658364026,127.02058555068083,0.0,0.6303196,17.186024,10.832687,49.21775,횡단보도 추가,횡단보도개수,1.6165958740056312,0.20017404854297638,0.5605933666229248,신호등 설치,신호등설치여부,0.29796386757604587,0.07411348074674606,0.017987091094255447,가로등 추가,가로등개수,0.026208838059954158,0.00019228938617743552,0.016088878735899925,3
161260,37.6336324078021,127.0233912892079,0.0,0.57335955,18.414104,10.557902,47.96928,횡단보도 추가,횡단보도개수,1.1412186464887566,0.10704183578491211,0.4497058093547821,신호등 설치,신호등설치여부,0.27883110029854563,0.03830939158797264,0.07420021295547485,제한속도 하향,제한속도,0.22130911442352286,0.007656144443899393,0.12565907835960388,3
41152,37.53738478511919,126.96089002969318,0.0,0.48671648,21.377577,10.404819,47.27375,횡단보도 추가,횡단보도개수,1.3365060009959793,0.16471898555755615,0.3805364966392517,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.45911164470477217,0.05565251410007477,0.13332170248031616,과속방지턱 추가,과속방지턱개수,0.054399456383526654,0.0020789741538465023,0.02841050550341606,3
165202,37.633951885321885,127.02335471807513,0.0,0.55983967,18.54204,10.380569,47.163578,횡단보도 추가,횡단보도개수,1.0459880070299328,0.12418998777866364,0.43615925312042236,신호등 설치,신호등설치여부,0.4830486958083281,0.05588846281170845,0.206220805644989,제한속도 하향,제한속도,0.19595530151950363,0.016023319214582443,0.10544701665639877,3
149171,37.625664413168906,127.02482357690234,0.0,0.5252802,19.746315,10.372348,47.12622,횡단보도 추가,횡단보도개수,1.3587955794097804,0.1702306568622589,0.39145249128341675,횡단보도 예고표시 설치,횡단보도예고표시여부,0.3709722953682492,0.06878860294818878,0.060862455517053604,보행자우선도로 지정,보행자우선도로여부,0.0010967176783417034,3.2506355637451634e-05,0.0005322399665601552,3
165200,37.63350329120799,127.02340878664852,0.0,0.61694396,16.725525,10.318711,46.882526,횡단보도 추가,횡단보도개수,1.0967070891680406,0.12415603548288345,0.32689371705055237,제한속도 하향,제한속도,0.30254209537495863,0.017911508679389954,0.12737496197223663,신호등 설치,신호등설치여부,0.291281396228721,0.040523916482925415,0.0696367621421814,3
424684,37.4934059337163,127.14623707113968,0.0,0.7389885,13.933405,10.296626,46.782185,횡단보도 추가,횡단보도개수,0.8373356273012885,0.1049007698893547,0.41569292545318604,신호등 설치,신호등설치여부,0.4392098826617744,0.06599003076553345,0.1760958880186081,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.27422694970548833,0.02857101708650589,0.15826435387134552,3
369422,37.49003421540262,126.923047844442,0.0,0.6272117,16.357656,10.259713,46.614475,횡단보도 추가,횡단보도개수,1.481501805467463,0.048748016357421875,0.2437051385641098,보행자우선도로 지정,보행자우선도로여부,0.0012981251688996176,5.387793862610124e-05,0.00017355561431031674,,,0.0,0.0,0.0,2
98817,37.58152418622344,127.04102616121438,0.0,0.8917346,11.470704,10.228824,46.47413,제한속도 하향,제한속도,1.4022685827442947,0.020023638382554054,0.08802823722362518,과속방지턱 추가,과속방지턱개수,0.19511603240015457,0.0015952563844621181,0.017712600529193878,,,0.0,0.0,0.0,2
98815,37.58152323077445,127.04102708176995,0.0,0.8917346,11.470704,10.228824,46.47413,제한속도 하향,제한속도,1.3859001391218126,0.02547767013311386,0.05615123733878136,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1
